date,coin_id,price,band_lower,band_upper,band_position,n_news,n_pos,n_neg,n_neu,vol,conf_price,conf_info,signal_price,signal_info,settle_price,net_price,net_info,win_price,win_info
2026-09-15,bitcoin,76270,73814.73,78802.02,inside,100,19,13,68,,,64.71,HOLD,HOLD,,,,,
2026-09-15,ethereum,2413.88,2298.1,2535.49,inside,100,19,20,61,,,58.37,HOLD,HOLD,,,,,
2026-09-15,solana,98.9,94.48,103.55,inside,100,25,12,63,,,59.94,HOLD,HOLD,,,,,
2026-09-16,bitcoin,75841,73397.62,78388.4,inside,100,19,11,70,,,65.76,HOLD,HOLD,,,,,
2026-09-16,ethereum,2400.84,2284.88,2522.68,inside,100,21,19,60,,,57.99,HOLD,HOLD,,,,,
2026-09-17,bitcoin,76560,73682.96,78693.06,inside,100,16,13,71,0.019061,22.85,65.97,HOLD,HOLD,,,,,
2026-09-17,ethereum,2461.35,2299.33,2538.51,inside,100,22,20,58,0.027792,19.58,57.19,HOLD,HOLD,,,,,
2026-09-17,solana,100.91,93.99,103.31,inside,100,27,12,61,0.027856,19.55,59.24,HOLD,HOLD,,,,,
2026-09-18,bitcoin,81192,73900.22,78925.14,above_upper,100,19,13,68,0.020023,22.49,64.37,SELL,HOLD,81156,-0.256,,0,
2026-09-18,ethereum,2633.3,2328.07,2570.2,above_upper,0,0,0,0,0.028688,19.24,19.24,SELL,SELL,2633.3,-0.300,-0.300,0,0
2026-09-18,solana,113.65981101638225,96.86,106.51,above_upper,100,27,14,59,0.029796,18.83,57.48,SELL,HOLD,113.62,-0.265,,0,
2026-09-20,bitcoin,81281,78867.38,83676.61,inside,100,18,14,68,0.019792,22.58,64.36,HOLD,HOLD,,,,,
2026-09-20,ethereum,2627.76,2540.79,2726.5,inside,100,22,18,60,0.028357,19.37,57.81,HOLD,HOLD,,,,,
2026-09-20,solana,110.82800587202014,105.84,116.45,inside,100,29,12,59,0.029472,18.95,58.08,HOLD,HOLD,,,,,
2026-09-21,bitcoin,81384,79177.27,83210.9,inside,0,0,0,0,0.019645,22.63,22.63,HOLD,HOLD,,,,,
2026-09-21,ethereum,2664.71,2565.48,2726.44,inside,0,0,0,0,0.02803,19.49,19.49,HOLD,HOLD,,,,,
2026-09-21,solana,111.48305380731122,106.2,116.34,inside,0,0,0,0,0.029209,19.05,19.05,HOLD,HOLD,,,,,
2026-09-22,bitcoin,85537,84156.52,89107.72,inside,0,0,0,0,0.020509,22.31,22.31,HOLD,HOLD,,,,,
2026-09-22,ethereum,2730.15,2690.97,2862.0,inside,0,0,0,0,0.028271,19.4,19.4,HOLD,HOLD,,,,,
2026-09-22,solana,116.61093427966378,113.32,124.7,inside,0,0,0,0,0.029876,18.8,18.8,HOLD,HOLD,,,,,
2026-09-23,bitcoin,87211,83750.48,88686.78,inside,0,0,0,0,0.020304,22.39,22.39,HOLD,HOLD,,,,,
2026-09-23,ethereum,2783.5,2669.09,2838.78,inside,0,0,0,0,0.02789,19.54,19.54,HOLD,HOLD,,,,,
2026-09-23,solana,119.54,112.97,124.32,inside,0,0,0,0,0.02975,18.84,18.84,HOLD,HOLD,,,,,
2026-09-24,bitcoin,83899,81968.43,86867.46,inside,0,0,0,0,0.020487,22.32,22.32,HOLD,HOLD,,,,,
2026-09-24,ethereum,2676.62,2601.04,2770.32,inside,0,0,0,0,0.028097,19.46,19.46,HOLD,HOLD,,,,,
2026-09-24,solana,114.90612219204971,109.58,120.65,inside,0,0,0,0,0.029443,18.96,18.96,HOLD,HOLD,,,,,
